Folio,Periodo,Anio,Zona,Zona_corta,Tipo_zona,Categoria,Sentimiento,Dias_respuesta,Texto_PQRSD
PQR-2025T3-0001,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,21,"La atención para la ayuda de emergencia fue oportuna, gracias."
PQR-2025T3-0002,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,15,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0003,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,17,Quisiera saber qué documentos faltan para la ayuda humanitaria.
PQR-2025T3-0004,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,22,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0005,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,21,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0006,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,19,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0007,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,21,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0008,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,22,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0009,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,16,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0010,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,15,"Solicité el mercado de emergencia y nunca llegó, mi familia está pasando necesidad."
PQR-2025T3-0011,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,22,Pregunto por el estado de mi solicitud de ayuda humanitaria inmediata.
PQR-2025T3-0012,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Negativo,15,Llevo tres meses esperando la ayuda humanitaria y no me han dado respuesta.
PQR-2025T3-0013,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,18,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0014,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Positivo,20,Agradezco que me entregaron la ayuda humanitaria rápidamente.
PQR-2025T3-0015,2025-T3,2025,Comuna 1 (Centro),Comuna 1,Comuna,Ayuda humanitaria,Neutral,21,Quisiera saber qué documentos faltan para la ayuda humanitaria.
